Gene_id,Version,Gene_names,Uniprot_id,TF
Cre17.g738300,C. reinhardtii v5.6,RPP1,A8JCC6,
Cre10.g452100,C. reinhardtii v5.6,PSBY,A0A2K3DB84,
Cre17.g732000,C. reinhardtii v5.6,ATP9A,A8JFE2,
Cre06.g275100,C. reinhardtii v5.6,Cre06.g275100,A0A2K3DNK6,
Cre01.g004500,C. reinhardtii v5.6,LEU1,A8JG03,
Cre10.g443050,C. reinhardtii v5.6,PFH3,A0A2K3DAM4,
Cre03.g190950,C. reinhardtii v5.6,TUA1,,
Cre16.g659950,C. reinhardtii v5.6,PRPS5,A8J8M5,
Cre14.g617450,C. reinhardtii v5.6,HSP22E,A8HNU9,
Cre07.g346800,C. reinhardtii v5.6,Cre07.g346800,A0A2K3DL07,
Cre16.g687350,C. reinhardtii v5.6,Cre16.g687350,A0A2K3CUM5,
Cre04.g213350,C. reinhardtii v5.6,Cre04.g213350,A0A2K3DTW4,
Cre09.g391726,C. reinhardtii v5.6,Cre09.g391726,A0A2K3DE74,
Cre15.g638400,C. reinhardtii v5.6,Cre15.g638400,A0A2K3CWT8,
Cre02.g142351,C. reinhardtii v5.6,Cre02.g142351,A0A2K3E434,
Cre07.g349200,C. reinhardtii v5.6,Cre07.g349200,A0A2K3DL49,
Cre01.g038400,C. reinhardtii v5.6,CRT2,A8HMC0,
Cre06.g256000,C. reinhardtii v5.6,Cre06.g256000,A0A2K3DMD6,
Cre06.g302350,C. reinhardtii v5.6,Cre06.g302350,A0A2K3DR19,
Cre16.g650550,C. reinhardtii v5.6,FAP103,A8J9H8,
Cre17.g700750,C. reinhardtii v5.6,Cre17.g700750,A8IQG4,
Cre13.g570851,C. reinhardtii v5.6,Cre13.g570851,A0A2K3CZN2,
Cre09.g399912,C. reinhardtii v5.6,Cre09.g399912,A0A2K3DCX1,
Cre07.g340050,C. reinhardtii v5.6,Cre07.g340050,A0A2K3DKG5,
Cre06.g249250,C. reinhardtii v5.6,RPL7AE,A0A2K3DLU5,
Cre12.g510500,C. reinhardtii v5.6,Cre12.g510500,A0A2K3D2L4,
Cre12.g510650,C. reinhardtii v5.6,FBP2,A8IKQ0,
Cre12.g500150,C. reinhardtii v5.6,ALD5,A0A2K3D399,
Cre16.g681750,C. reinhardtii v5.6,FAP381,A0A2K3CV07,
Cre16.g679750,C. reinhardtii v5.6,Cre16.g679750,A0A2K3CV56,
Cre01.g049950,C. reinhardtii v5.6,VLE1,A9ZNH0,
Cre02.g143307,C. reinhardtii v5.6,CLPC1,A0A2K3E4J3,
Cre07.g327450,C. reinhardtii v5.6,DNJ34,A8IHL1,
